pre, count, x1, y1, z1, x2, y2, z2, pst
0 , 296 , 2000 , 1922 , 1153 , 2060 , 2051 , 1637 , 4294967295
0 , 297 , 2001 , 1920 , 1154 , 2059 , 2050 , 1636 , 4294967295
0 , 298 , 2000 , 1920 , 1154 , 2058 , 2050 , 1636 , 4294967295
0 , 299 , 2000 , 1920 , 1151 , 2058 , 2050 , 1635 , 4294967295
0 , 300 , 1997 , 1919 , 1149 , 2058 , 2049 , 1633 , 4294967295
0 , 301 , 1993 , 1919 , 1151 , 2058 , 2050 , 1635 , 4294967295
0 , 302 , 1989 , 1919 , 1149 , 2059 , 2050 , 1633 , 4294967295
0 , 303 , 1985 , 1919 , 1150 , 2060 , 2050 , 1634 , 4294967295
0 , 304 , 1985 , 1919 , 1147 , 2061 , 2049 , 1632 , 4294967295
0 , 305 , 1984 , 1919 , 1146 , 2062 , 2050 , 1632 , 4294967295
0 , 306 , 1985 , 1920 , 1146 , 2063 , 2050 , 1632 , 4294967295
0 , 307 , 1986 , 1920 , 1146 , 2063 , 2050 , 1633 , 4294967295
0 , 308 , 1988 , 1921 , 1149 , 2063 , 2050 , 1635 , 4294967295
0 , 309 , 1994 , 1921 , 1149 , 2062 , 2050 , 1635 , 4294967295
0 , 310 , 1998 , 1923 , 1150 , 2061 , 2051 , 1635 , 4294967295
0 , 311 , 2000 , 1923 , 1149 , 2060 , 2051 , 1634 , 4294967295
0 , 312 , 2000 , 1923 , 1152 , 2059 , 2051 , 1636 , 4294967295
0 , 313 , 2002 , 1923 , 1153 , 2058 , 2051 , 1637 , 4294967295
0 , 314 , 2001 , 1925 , 1154 , 2058 , 2052 , 1637 , 4294967295
0 , 315 , 2000 , 1928 , 1154 , 2058 , 2054 , 1638 , 4294967295
0 , 316 , 1996 , 1928 , 1154 , 2058 , 2054 , 1638 , 4294967295
0 , 317 , 1991 , 1927 , 1156 , 2058 , 2054 , 1637 , 4294967295
0 , 318 , 1990 , 1928 , 1155 , 2059 , 2053 , 1637 , 4294967295
0 , 319 , 1989 , 1927 , 1155 , 2059 , 2053 , 1637 , 4294967295
0 , 320 , 1989 , 1927 , 1154 , 2062 , 2053 , 1637 , 4294967295
0 , 321 , 1989 , 1927 , 1153 , 2062 , 2053 , 1636 , 4294967295
0 , 322 , 1991 , 1927 , 1155 , 2063 , 2053 , 1636 , 4294967295
0 , 323 , 1992 , 1925 , 1155 , 2063 , 2052 , 1635 , 4294967295
0 , 324 , 1994 , 1925 , 1155 , 2062 , 2052 , 1636 , 4294967295
0 , 325 , 1999 , 1923 , 1153 , 2061 , 2051 , 1635 , 4294967295
0 , 326 , 2001 , 1923 , 1153 , 2060 , 2050 , 1635 , 4294967295
0 , 327 , 2001 , 1921 , 1152 , 2059 , 2050 , 1635 , 4294967295
0 , 328 , 1999 , 1920 , 1153 , 2059 , 2050 , 1636 , 4294967295
0 , 329 , 1998 , 1920 , 1153 , 2058 , 2050 , 1636 , 4294967295
0 , 330 , 1995 , 1920 , 1151 , 2058 , 2050 , 1636 , 4294967295
0 , 331 , 1994 , 1923 , 1151 , 2058 , 2052 , 1637 , 4294967295
0 , 332 , 1991 , 1924 , 1151 , 2058 , 2052 , 1637 , 4294967295
0 , 333 , 1984 , 1925 , 1153 , 2059 , 2052 , 1639 , 4294967295
0 , 334 , 1983 , 1925 , 1153 , 2060 , 2053 , 1638 , 4294967295
0 , 335 , 1981 , 1926 , 1151 , 2061 , 2053 , 1637 , 4294967295
0 , 336 , 1982 , 1927 , 1151 , 2062 , 2054 , 1637 , 4294967295
0 , 337 , 1982 , 1927 , 1152 , 2062 , 2054 , 1637 , 4294967295
0 , 338 , 1985 , 1926 , 1155 , 2062 , 2053 , 1639 , 4294967295
